index,female_bmi,female_stature_mm
0,28.2,1563.0
1,22.2,1716.0
2,27.1,1484.0
3,28.1,1651.0
4,25.5,1548.0
5,23.0,1665.0
6,35.6,1564.0
7,31.1,1676.0
8,24.6,1690.0
9,43.0,1704.0
10,24.2,1632.0
11,32.3,1541.0
12,27.4,1520.0
13,36.6,1566.0
14,21.2,1717.0
15,33.0,1676.0
16,36.9,1636.0
17,27.6,1618.0
18,49.9,1663.0
19,33.6,1565.0
20,40.8,1672.0
21,47.1,1671.0
22,18.2,1606.0
23,29.9,1560.0
24,24.1,1497.0
25,40.3,1602.0
26,36.5,1686.0
27,20.5,1556.0
28,25.5,1491.0
29,28.0,1467.0
30,21.5,1638.0
31,47.1,1603.0
32,24.2,1615.0
33,19.5,1526.0
34,30.2,1533.0
35,26.6,1656.0
36,33.1,1625.0
37,21.8,1653.0
38,25.9,1474.0
39,26.7,1492.0
40,24.1,1593.0
41,31.8,1664.0
42,25.6,1631.0
43,28.1,1648.0
44,43.4,1697.0
45,21.4,1682.0
46,25.9,1668.0
47,48.8,1619.0
48,32.7,1648.0
49,45.4,1494.0
50,40.4,1539.0
51,32.2,1556.0
52,30.1,1573.0
53,24.8,1626.0
54,26.6,1546.0
55,23.6,1618.0
56,28.5,1397.0
57,26.6,1522.0
58,22.6,1555.0
59,23.9,1492.0
60,23.7,1539.0
61,29.3,1637.0
62,35.4,1724.0
63,31.8,1742.0
64,20.7,1774.0
65,23.5,1552.0
66,20.3,1688.0
67,17.9,1460.0
68,40.0,1624.0
69,34.3,1576.0
70,23.3,1655.0
71,27.6,1590.0
72,21.4,1587.0
73,24.5,1640.0
74,30.5,1588.0
75,29.7,1531.0
76,25.6,1632.0
77,24.5,1617.0
78,41.3,1475.0
79,19.9,1608.0
80,31.8,1705.0
81,17.4,1591.0
82,26.3,1585.0
83,28.0,1457.0
84,24.5,1619.0
85,27.4,1536.0
86,23.0,1574.0
87,17.1,1606.0
88,40.7,1692.0
89,31.7,1554.0
90,26.6,1729.0
91,21.0,1596.0
92,38.5,1651.0
93,30.1,1526.0
94,23.4,1563.0
95,29.9,1641.0
96,24.6,1638.0
97,24.1,1504.0
98,28.2,1621.0
99,40.2,1584.0
100,29.5,1651.0
101,29.4,1596.0
102,30.5,1514.0
103,33.1,1567.0
104,33.2,1599.0
105,30.2,1654.0
106,25.4,1624.0
107,23.9,1634.0
108,25.7,1553.0
109,39.3,1540.0
110,38.8,1622.0
111,22.5,1632.0
112,41.8,1545.0
113,26.6,1645.0
114,37.7,1573.0
115,35.0,1635.0
116,32.3,1629.0
117,25.7,1579.0
118,25.7,1565.0
119,65.1,1553.0
120,24.3,1598.0
121,29.7,1546.0
122,29.7,1558.0
123,40.5,1484.0
124,32.4,1670.0
125,24.1,1614.0
126,27.5,1656.0
127,31.7,1605.0
128,24.6,1412.0
129,31.8,1608.0
130,13.4,1472.0
131,23.3,1695.0
132,25.9,1513.0
133,82.1,1512.0
134,24.1,1630.0
135,32.1,1437.0
136,27.5,1594.0
137,36.4,1593.0
138,33.1,1497.0
139,31.2,1484.0
140,29.6,1654.0
141,24.0,1594.0
142,29.4,1631.0
143,27.8,1607.0
144,28.2,1672.0
145,34.7,1566.0
146,27.8,1591.0
147,27.7,1623.0
148,32.5,1800.0
149,21.4,1519.0
150,30.4,1603.0
151,32.6,1596.0
152,18.1,1678.0
153,40.0,1726.0
154,18.9,1529.0
155,41.2,1676.0
156,31.9,1605.0
157,32.0,1586.0
158,29.5,1497.0
159,27.0,1481.0
160,34.8,1536.0
161,30.3,1656.0
162,29.4,1636.0
163,33.3,1569.0
164,23.8,1668.0
165,25.5,1614.0
166,36.9,1689.0
167,23.3,1582.0
168,24.7,1625.0
169,48.1,1593.0
170,43.0,1551.0
171,18.9,1565.0
172,39.4,1669.0
173,34.7,1570.0
174,42.2,1532.0
175,35.2,1582.0
176,24.3,1627.0
177,40.6,1607.0
178,22.0,1531.0
179,37.6,1740.0
180,21.8,1618.0
181,28.7,1699.0
182,30.5,1543.0
183,21.5,1704.0
184,27.7,1606.0
185,24.6,1607.0
186,32.6,1622.0
187,23.7,1621.0
188,33.6,1533.0
189,23.4,1544.0
190,25.4,1694.0
191,32.6,1562.0
192,24.0,1487.0
193,25.4,1514.0
194,33.7,1483.0
195,38.8,1490.0
196,21.5,1589.0
197,27.1,1592.0
198,24.7,1488.0
199,27.5,1546.0
200,41.8,1621.0
201,23.0,1552.0
202,36.8,1639.0
203,29.7,1685.0
204,54.8,1636.0
205,23.3,1444.0
206,24.9,1505.0
207,37.2,1575.0
208,41.1,1506.0
209,16.9,1603.0
210,27.1,1586.0
211,22.5,1480.0
212,26.7,1603.0
213,32.8,1551.0
214,17.6,1458.0
215,35.1,1602.0
216,25.5,1628.0
217,24.3,1554.0
218,24.7,1657.0
219,23.2,1603.0
220,24.2,1596.0
221,29.5,1652.0
222,28.9,1579.0
223,24.7,1465.0
224,31.1,1660.0
225,29.4,1668.0
226,31.4,1596.0
227,31.8,1598.0
228,33.8,1661.0
229,27.3,1550.0
230,52.6,1625.0
231,20.7,1539.0
232,38.2,1613.0
233,26.3,1566.0
234,31.9,1647.0
235,29.0,1733.0
236,35.2,1582.0
237,26.1,1626.0
238,35.1,1520.0
239,40.7,1563.0
240,31.4,1714.0
241,21.8,1573.0
242,33.3,1576.0
243,20.5,1635.0
244,28.3,1624.0
245,25.2,1650.0
246,33.4,1605.0
247,34.1,1659.0
248,28.4,1675.0
249,27.7,1701.0
250,29.4,1411.0
251,24.8,1635.0
252,22.6,1599.0
253,26.2,1681.0
254,30.5,1560.0
255,19.0,1454.0
256,34.2,1522.0
257,21.0,1697.0
258,37.8,1582.0
259,34.6,1573.0
260,46.4,1605.0
261,26.2,1584.0
262,30.3,1531.0
263,29.3,1579.0
264,25.9,1588.0
265,27.5,1534.0
266,25.7,1567.0
267,22.3,1597.0
268,22.2,1575.0
269,38.4,1628.0
270,44.1,1462.0
271,25.1,1511.0
272,21.6,1548.0
273,22.4,1485.0
274,42.6,1710.0
275,29.1,1712.0
276,30.9,1564.0
277,48.0,1546.0
278,25.2,1651.0
279,31.3,1534.0
280,28.6,1649.0
281,33.8,1528.0
282,49.0,1506.0
283,27.3,1440.0
284,21.1,1535.0
285,25.4,1631.0
286,22.3,1637.0
287,32.5,1529.0
288,28.6,1575.0
289,23.8,1626.0
290,21.5,1437.0
291,20.0,1554.0
292,22.1,1495.0
293,39.8,1533.0
294,27.2,1736.0
295,26.3,1636.0
296,19.7,1530.0
297,50.7,1460.0
298,31.3,1558.0
299,30.6,1660.0
300,50.9,1523.0
301,26.0,1696.0
302,22.3,1513.0
303,28.8,1626.0
304,30.0,1656.0
305,30.1,1559.0
306,28.8,1689.0
307,30.7,1501.0
308,34.6,1510.0
309,36.0,1568.0
310,20.4,1544.0
311,22.1,1537.0
312,36.7,1540.0
313,43.0,1674.0
314,27.0,1624.0
315,33.6,1643.0
316,28.6,1612.0
317,22.6,1522.0
318,35.8,1611.0
319,20.3,1590.0
320,25.0,1560.0
321,25.2,1557.0
322,25.8,1654.0
323,28.2,1622.0
324,25.6,1547.0
325,35.3,1513.0
326,44.0,1558.0
327,26.7,1820.0
328,30.5,1624.0
329,44.0,1468.0
330,33.0,1509.0
331,30.8,1711.0
332,31.5,1551.0
333,28.9,1479.0
334,29.4,1600.0
335,29.6,1607.0
336,26.0,1661.0
337,27.2,1521.0
338,29.2,1705.0
339,30.3,1529.0
340,23.9,1578.0
341,27.7,1564.0
342,24.3,1692.0
343,27.3,1480.0
344,23.4,1513.0
345,48.0,1520.0
346,27.7,1684.0
347,20.5,1560.0
348,22.9,1723.0
349,23.5,1634.0
350,30.7,1493.0
351,20.3,1608.0
352,24.1,1444.0
353,37.8,1640.0
354,34.9,1628.0
355,31.7,1735.0
356,29.2,1585.0
357,29.9,1558.0
358,39.2,1578.0
359,28.1,1706.0
360,28.8,1680.0
361,24.3,1538.0
362,33.6,1706.0
363,19.8,1465.0
364,27.5,1658.0
365,29.9,1523.0
366,23.2,1607.0
367,26.1,1472.0
368,29.5,1527.0
369,24.3,1549.0
370,25.8,1613.0
371,23.2,1583.0
372,26.2,1636.0
373,20.5,1516.0
374,49.2,1619.0
375,30.7,1616.0
376,26.1,1656.0
377,33.8,1559.0
378,35.9,1528.0
379,27.3,1686.0
380,27.3,1501.0
381,32.7,1761.0
382,23.8,1669.0
383,39.4,1594.0
384,28.6,1662.0
385,24.0,1801.0
386,26.1,1692.0
387,19.0,1562.0
388,39.0,1647.0
389,25.6,1555.0
390,40.2,1620.0
391,25.6,1533.0
392,24.9,1574.0
393,29.7,1503.0
394,27.9,1545.0
395,29.9,1548.0
396,30.3,1561.0
397,27.9,1501.0
398,36.1,1566.0
399,28.2,1507.0
400,22.5,1595.0
401,33.1,1654.0
402,34.1,1520.0
403,23.0,1619.0
404,23.0,1597.0
405,31.7,1507.0
406,24.8,1669.0
407,34.1,1698.0
408,35.0,1526.0
409,40.5,1712.0
410,23.5,1577.0
411,23.4,1466.0
412,26.1,1613.0
413,28.9,1636.0
414,27.9,1640.0
415,24.9,1571.0
416,24.3,1558.0
417,31.6,1672.0
418,33.5,1476.0
419,27.0,1630.0
420,21.4,1620.0
421,25.8,1520.0
422,23.8,1606.0
423,39.7,1608.0
424,21.4,1773.0
425,26.2,1441.0
426,30.4,1546.0
427,30.8,1680.0
428,36.2,1614.0
429,26.2,1578.0
430,31.3,1633.0
431,35.8,1671.0
432,28.0,1600.0
433,20.7,1518.0
434,29.9,1549.0
435,27.9,1442.0
436,27.4,1622.0
437,22.7,1696.0
438,38.4,1542.0
439,24.4,1361.0
440,27.5,1592.0
441,19.6,1466.0
442,37.8,1620.0
443,37.0,1511.0
444,21.2,1501.0
445,42.9,1534.0
446,39.7,1567.0
447,27.7,1650.0
448,25.2,1630.0
449,28.6,1631.0
450,25.0,1601.0
451,25.0,1662.0
452,41.7,1492.0
453,24.8,1624.0
454,22.8,1570.0
455,25.2,1596.0
456,22.0,1570.0
457,21.4,1657.0
458,29.0,1670.0
459,30.0,1603.0
460,43.4,1565.0
461,25.5,1631.0
462,22.5,1660.0
463,39.3,1577.0
464,32.5,1603.0
465,29.1,1649.0
466,22.9,1511.0
467,33.4,1478.0
468,41.8,1627.0
469,23.7,1474.0
470,26.7,1680.0
471,23.4,1626.0
472,34.1,1548.0
473,25.2,1456.0
474,34.1,1493.0
475,27.7,1645.0
476,26.2,1654.0
477,29.5,1593.0
478,27.8,1625.0
479,34.6,1562.0
480,31.4,1491.0
481,21.9,1657.0
482,26.6,1442.0
483,29.3,1585.0
484,23.4,1495.0
485,20.6,1541.0
486,37.1,1617.0
487,32.8,1632.0
488,36.8,1467.0
489,46.0,1632.0
490,33.7,1703.0
491,31.4,1534.0
492,35.9,1605.0
493,40.3,1672.0
494,20.4,1602.0
495,23.4,1579.0
496,22.5,1600.0
497,23.2,1565.0
498,28.3,1567.0
499,41.9,1564.0
500,30.1,1643.0
501,26.0,1663.0
502,29.0,1660.0
503,28.9,1601.0
504,33.8,1520.0
505,20.8,1605.0
506,29.5,1601.0
507,29.4,1694.0
508,33.8,1612.0
509,24.8,1574.0
510,34.6,1543.0
511,32.4,1509.0
512,42.4,1684.0
513,32.1,1454.0
514,35.9,1661.0
515,51.8,1546.0
516,27.3,1629.0
517,28.9,1537.0
518,36.8,1682.0
519,34.1,1634.0
520,29.4,1547.0
521,40.1,1464.0
522,35.1,1590.0
523,19.7,1624.0
524,35.7,1618.0
525,26.5,1528.0
526,38.3,1647.0
527,24.2,1569.0
528,39.1,1638.0
529,21.6,1679.0
530,26.0,1459.0
531,24.0,1728.0
532,26.7,1648.0
533,39.1,1589.0
534,24.8,1566.0
535,22.1,1576.0
536,19.3,1577.0
537,37.8,1590.0
538,27.7,1638.0
539,46.1,1595.0
540,34.8,1426.0
541,36.4,1699.0
542,21.4,1622.0
543,35.2,1496.0
544,26.8,1684.0
545,22.5,1605.0
546,24.6,1606.0
547,25.1,1499.0
548,23.6,1490.0
549,27.0,1548.0
550,19.1,1641.0
551,30.1,1614.0
552,30.5,1617.0
553,36.0,1566.0
554,23.4,1587.0
555,28.9,1677.0
556,64.7,1669.0
557,25.0,1677.0
558,28.9,1548.0
559,27.2,1515.0
560,31.2,1520.0
561,39.1,1561.0
562,41.1,1681.0
563,44.2,1491.0
564,31.5,1580.0
565,28.1,1583.0
566,19.3,1614.0
567,31.2,1630.0
568,42.7,1506.0
569,34.4,1640.0
570,29.5,1498.0
571,25.4,1561.0
572,25.9,1617.0
573,35.0,1670.0
574,33.3,1556.0
575,30.4,1486.0
576,23.1,1833.0
577,30.8,1644.0
578,20.8,1584.0
579,16.8,1562.0
580,47.2,1650.0
581,34.2,1561.0
582,31.7,1494.0
583,23.0,1662.0
584,40.7,1576.0
585,30.1,1568.0
586,32.1,1614.0
587,25.9,1437.0
588,26.4,1520.0
589,24.9,1525.0
590,23.9,1574.0
591,20.2,1603.0
592,26.9,1520.0
593,33.1,1671.0
594,21.1,1576.0
595,43.0,1613.0
596,36.2,1484.0
597,27.9,1515.0
598,33.3,1615.0
599,28.9,1579.0
600,31.8,1774.0
601,19.9,1572.0
602,27.3,1658.0
603,38.7,1440.0
604,29.4,1666.0
605,33.9,1616.0
606,30.4,1602.0
607,34.1,1509.0
608,31.1,1508.0
609,32.5,1711.0
610,27.4,1535.0
611,24.4,1621.0
612,44.9,1511.0
613,24.4,1617.0
614,24.6,1582.0
615,27.9,1595.0
616,27.8,1529.0
617,18.9,1606.0
618,19.7,1536.0
619,43.1,1686.0
620,29.0,1552.0
621,28.2,1592.0
622,22.6,1685.0
623,22.0,1480.0
624,29.0,1541.0
625,51.3,1590.0
626,23.8,1546.0
627,36.7,1542.0
628,34.0,1646.0
629,29.0,1528.0
630,43.3,1675.0
631,33.0,1662.0
632,21.6,1519.0
633,53.5,1531.0
634,30.4,1583.0
635,25.8,1639.0
636,26.4,1615.0
637,22.4,1538.0
638,21.6,1546.0
639,21.6,1565.0
640,40.0,1682.0
641,26.8,1568.0
642,26.4,1592.0
643,31.9,1527.0
644,41.1,1607.0
645,30.2,1551.0
646,35.1,1636.0
647,27.6,1682.0
648,19.3,1534.0
649,23.6,1555.0
650,22.8,1469.0
651,35.8,1738.0
652,32.7,1797.0
653,24.6,1562.0
654,24.2,1543.0
655,27.3,1612.0
656,36.2,1354.0
657,27.6,1540.0
658,38.7,1592.0
659,27.0,1566.0
660,33.1,1647.0
661,49.4,1566.0
662,31.5,1642.0
663,20.3,1552.0
664,25.2,1669.0
665,30.6,1502.0
666,31.2,1676.0
667,29.0,1498.0
668,26.6,1547.0
669,23.7,1414.0
670,25.4,1614.0
671,34.6,1638.0
672,20.6,1491.0
673,27.0,1642.0
674,35.0,1574.0
675,36.2,1536.0
676,24.6,1582.0
677,31.3,1632.0
678,36.9,1491.0
679,22.6,1669.0
680,48.9,1671.0
681,30.5,1498.0
682,36.8,1617.0
683,27.2,1609.0
684,28.6,1663.0
685,17.8,1602.0
686,33.7,1451.0
687,28.6,1607.0
688,26.1,1590.0
689,28.2,1531.0
690,26.7,1604.0
691,37.1,1608.0
692,29.0,1661.0
693,31.2,1625.0
694,33.7,1645.0
695,33.8,1517.0
696,29.4,1618.0
697,33.3,1670.0
698,36.0,1501.0
699,29.7,1475.0
700,37.8,1641.0
701,35.1,1601.0
702,26.1,1633.0
703,34.3,1609.0
704,24.9,1520.0
705,26.5,1574.0
706,22.9,1512.0
707,29.7,1633.0
708,36.2,1576.0
709,31.0,1491.0
710,34.5,1595.0
711,47.1,1596.0
712,43.2,1606.0
713,26.7,1588.0
714,29.6,1610.0
715,27.9,1603.0
716,46.4,1575.0
717,25.5,1598.0
718,20.7,1560.0
719,30.3,1575.0
720,17.6,1572.0
721,25.7,1606.0
722,38.8,1576.0
723,37.8,1540.0
724,35.8,1621.0
725,32.4,1684.0
726,22.1,1556.0
727,36.4,1631.0
728,31.5,1585.0
729,29.2,1572.0
730,32.0,1580.0
731,33.5,1618.0
732,30.5,1664.0
733,17.2,1667.0
734,29.9,1488.0
735,22.8,1626.0
736,27.2,1584.0
737,23.6,1566.0
738,41.4,1565.0
739,28.5,1689.0
740,39.3,1594.0
741,26.8,1619.0
742,55.7,1611.0
743,27.2,1604.0
744,33.2,1637.0
745,28.1,1571.0
746,35.6,1549.0
747,30.6,1663.0
748,77.5,1446.0
749,28.5,1558.0
750,38.4,1578.0
751,32.5,1559.0
752,19.3,1553.0
753,29.1,1561.0
754,25.6,1481.0
755,21.9,1700.0
756,34.0,1583.0
757,26.9,1620.0
758,42.4,1582.0
759,28.2,1695.0
760,28.3,1554.0
761,27.8,1649.0
762,22.2,1623.0
763,39.8,1632.0
764,32.0,1702.0
765,30.8,1610.0
766,33.1,1480.0
767,30.2,1600.0
768,22.4,1505.0
769,26.9,1536.0
770,23.6,1547.0
771,44.9,1677.0
772,28.5,1548.0
773,35.3,1630.0
774,24.4,1575.0
775,31.3,1649.0
776,19.5,1570.0
777,23.8,1720.0
778,55.6,1680.0
779,26.2,1622.0
780,32.2,1644.0
781,37.1,1500.0
782,34.2,1532.0
783,23.1,1605.0
784,27.7,1665.0
785,35.0,1625.0
786,19.4,1446.0
787,31.0,1681.0
788,28.0,1665.0
789,20.3,1607.0
790,28.0,1571.0
791,27.4,1626.0
792,54.9,1534.0
793,24.9,1677.0
794,33.7,1493.0
795,37.7,1682.0
796,29.8,1574.0
797,26.6,1536.0
798,22.8,1574.0
799,22.3,1690.0
800,25.8,1723.0
801,27.8,1609.0
802,23.3,1592.0
803,34.2,1657.0
804,28.2,1665.0
805,38.0,1607.0
806,28.2,1578.0
807,38.1,1700.0
808,28.6,1485.0
809,38.0,1591.0
810,20.7,1579.0
811,30.4,1635.0
812,24.8,1541.0
813,32.5,1698.0
814,39.1,1721.0
815,24.9,1514.0
816,24.0,1568.0
817,34.8,1573.0
818,50.4,1530.0
819,29.5,1474.0
820,22.1,1609.0
821,38.9,1544.0
822,30.9,1609.0
823,25.2,1627.0
824,22.4,1428.0
825,32.9,1507.0
826,29.1,1532.0
827,24.9,1582.0
828,20.2,1653.0
829,26.2,1593.0
830,28.3,1540.0
831,24.7,1572.0
832,17.6,1583.0
833,31.2,1473.0
834,26.7,1503.0
835,22.1,1614.0
836,36.7,1581.0
837,23.9,1706.0
838,21.8,1604.0
839,34.1,1668.0
840,23.1,1623.0
841,36.4,1563.0
842,18.8,1552.0
843,24.2,1648.0
844,32.7,1599.0
845,28.8,1445.0
846,30.5,1630.0
847,24.6,1550.0
848,23.2,1454.0
849,30.4,1651.0
850,50.8,1643.0
851,32.7,1668.0
852,28.0,1585.0
